Name,Domain,Cloudflare url,LogoDev
Maxio,https://www.maxio.com/,https://developers.maxio.com/http/getting-started/overview,https://img.logo.dev/https://www.maxio.com/?token=pk_C1elIw7HR2yyKFwdqgPYHA
Fortis,https://fortis-technologies.com/,https://docs.fortis.tech/v/1_0_0.html#/rest/quick-start-guide/overview,https://img.logo.dev/https://fortis-technologies.com/?token=pk_C1elIw7HR2yyKFwdqgPYHA
Foxit Esign,https://www.foxit.com/,https://developers.foxitesign.foxit.com/v/1_0_0#/rest/installation-guidelines,https://img.logo.dev/https://www.foxit.com/?token=pk_C1elIw7HR2yyKFwdqgPYHA
Greenbyte,https://www.powerfactors.com/,https://developer.greenbyte.com/v/2_2-beta#/http,https://img.logo.dev/https://www.powerfactors.com/?token=pk_C1elIw7HR2yyKFwdqgPYHA
Shell,https://www.shell.com/,https://developer.shell.com/product-catalog/shell-digital-payments/sdk#/http/setting-up-sdks,https://img.logo.dev/https://www.shell.com/?token=pk_C1elIw7HR2yyKFwdqgPYHA
Verizon Thinkspace,http://thingspace.verizon.com/,https://thingspace.verizon.com/documentation/api-documentation.html#/http/quick-start/introduction-to-the-verizon-api,https://img.logo.dev/http://thingspace.verizon.com/?token=pk_C1elIw7HR2yyKFwdqgPYHA
Boku,https://www.boku.com/,https://developer.boku.com/xml/index.html#/http,https://img.logo.dev/https://www.boku.com/?token=pk_C1elIw7HR2yyKFwdqgPYHA
Mindbody Online,https://www.mindbodyonline.com/,https://developers.mindbodyonline.com/ui/documentation/public-api,https://img.logo.dev/https://www.mindbodyonline.com/?token=pk_C1elIw7HR2yyKFwdqgPYHA
JuniperMist,https://www.juniper.net,https://www.juniper.net/documentation/us/en/software/mist/api/http/getting-started/how-to-get-started,https://img.logo.dev/https://www.juniper.net?token=pk_C1elIw7HR2yyKFwdqgPYHA
PostNL,https://www.postnl.nl/en/,https://developer.postnl.nl/docs/#/python/getting-started/how-to-get-started,https://img.logo.dev/https://www.postnl.nl/en/?token=pk_C1elIw7HR2yyKFwdqgPYHA
Apcopay,https://www.apcopay.com/,https://apcopayapi.apimatic.dev/v/1_0#/http/introduction/introduction,https://img.logo.dev/https://www.apcopay.com/?token=pk_C1elIw7HR2yyKFwdqgPYHA
hipay,www.hipay.com,http://hipay-apimatic-catalog.pages.dev,https://img.logo.dev/www.hipay.com?token=pk_C1elIw7HR2yyKFwdqgPYHA
